nodes,case,algo,terminals,non_terminals,K,ave_obj,ave_time,obj,time
75,1,Greedy ES - ls,4,71,1,3.0,0.36487,[3],[0.3648746930000044]
75,1,Greedy MIS - ls,4,71,1,3.0,12.02806,[3],[12.028058219000002]
75,1,Exact - path,4,71,1,3.0,0.00447,[3.0],[0.004468017000007762]
75,1,Exact,4,71,1,3.0,5.19983,[3.0],[5.199833407]

75,1,Greedy ES - ls,8,67,2,21.0,0.38744,[21],[0.38744081199999414]
75,1,Greedy MIS - ls,8,67,2,15.0,13.88537,[15],[13.885366707999992]
75,1,Exact - path,8,67,2,15.0,0.00890,[15.0],[0.008898011999974642]
75,1,Exact,8,67,2,15.0,11.78290,[15.0],[11.782898555000003]

75,1,Greedy ES - ls,8,67,1,21.0,0.39457,[21],[0.3945659870000213]
75,1,Greedy MIS - ls,8,67,1,21.0,12.37125,[21],[12.371248843000018]
75,1,Exact - path,8,67,1,21.0,0.00378,[21.0],[0.003775866000012229]
75,1,Exact,8,67,1,21.0,5.66792,[21.0],[5.667924499000009]

75,1,Greedy ES - ls,11,64,3,36.0,0.40463,[36],[0.4046284249999985]
75,1,Greedy MIS - ls,11,64,3,28.0,15.91812,[28],[15.91812164000001]
75,1,Exact - path,11,64,3,28.0,0.02527,[28.0],[0.025265710999974544]
75,1,Exact,11,64,3,28.0,577.20502,[28.0],[577.205023567]

75,1,Greedy ES - ls,11,64,2,36.0,0.42706,[36],[0.4270564820000118]
75,1,Greedy MIS - ls,11,64,2,36.0,14.54277,[36],[14.54277296600003]
75,1,Exact - path,11,64,2,36.0,0.01999,[36.0],[0.01998579600001449]
75,1,Exact,11,64,2,36.0,128.65376,[36.0],[128.65375761000007]

75,1,Greedy ES - ls,11,64,1,45.0,0.37055,[45],[0.3705513620000147]
75,1,Greedy MIS - ls,11,64,1,45.0,12.28951,[45],[12.289511317000006]
75,1,Exact - path,11,64,1,45.0,0.00702,[45.0],[0.007016347999979189]
75,1,Exact,11,64,1,45.0,6.47693,[45.0],[6.476927505000049]

75,1,Greedy ES - ls,15,60,4,55.0,0.42175,[55],[0.4217499559999851]
75,1,Greedy MIS - ls,15,60,4,55.0,18.31167,[55],[18.311670054000047]
75,1,Exact - path,15,60,4,55.0,0.26595,[55.0],[0.26594989100067323]
75,1,Exact,15,60,4,55.0,6420.47046,[55.0],[6420.470464839]

75,1,Greedy ES - ls,15,60,3,66.0,0.41141,[66],[0.41141089699976874]
75,1,Greedy MIS - ls,15,60,3,66.0,15.23419,[66],[15.23419191999983]
75,1,Exact - path,15,60,3,66.0,0.10184,[66.0],[0.10183594299996912]
75,1,Exact,15,60,3,66.0,2372.32564,[66.0],[2372.3256373470003]

75,1,Greedy ES - ls,15,60,2,78.0,0.39017,[78],[0.3901656409998395]
75,1,Greedy MIS - ls,15,60,2,78.0,13.58899,[78],[13.588988016001167]
75,1,Exact - path,15,60,2,78.0,0.04494,[78.0],[0.044937446000403725]
75,1,Exact,15,60,2,78.0,906.95553,[78.0],[906.9555339420003]

75,1,Greedy ES - ls,22,53,7,105.0,0.58771,[105],[0.5877119390006555]
75,1,Greedy MIS - ls,22,53,7,91.0,25.16552,[91],[25.165516265000406]
75,1,Exact - path,22,53,7,91.0,0.96596,[91.0],[0.9659580939987791]
75,1,Exact,22,53,7,91.0,20141.19506,[91.0],[20141.195059929]

75,1,Greedy ES - ls,22,53,4,153.0,0.42169,[153],[0.42169008199925884]
75,1,Greedy MIS - ls,22,53,4,153.0,18.02492,[153],[18.024917601000197]
75,1,Exact - path,22,53,4,-1.0,0.08222,[-1],[0.08222074300283566]
75,1,Exact,22,53,4,-1.0,11510.90471,[-1],[11510.904706612]
