nodes,case,algo,terminals,non_terminals,K,ave_obj,ave_time,sol_status,obj,time
200,1,Greedy ES - ls,40,160,8,418.6,8.10541,[],"[379, 407, 465, 435, 407]","[8.133336013001099, 8.044965551000132, 8.126632012999835, 8.138744149000559, 8.083354729000348]"
200,1,Greedy MIS - ls,40,160,8,401.2,728.10072,[],"[379, 407, 435, 406, 379]","[727.0950895440001, 729.9588900910003, 728.3370355590014, 726.9776286910001, 728.1349667459999]"
200,1,Greedy ES - ls,40,160,12,305.8,8.71926,[],"[277, 301, 325, 325, 301]","[8.710235172000466, 8.684266004000165, 8.71477933099959, 8.683809893998841, 8.803188629000942]"
200,1,Greedy MIS - ls,40,160,12,281.6,844.49064,[],"[254, 301, 300, 276, 277]","[843.792979762, 863.7777267500005, 838.8165852919992, 838.1432991200018, 837.9226120740022]"
200,1,Greedy ES - ls,80,120,16,1556.4,9.15422,[],"[1328, 1487, 1770, 1486, 1711]","[9.190657009999995, 9.101932679001038, 9.094124145998649, 9.222505869001907, 9.161875584999507]"
200,1,Greedy MIS - ls,80,120,16,1383.8,926.09768,[],"[1230, 1380, 1653, 1277, 1379]","[929.2127160579985, 928.4684554060004, 926.6517804260002, 921.9474462619983, 924.2079906260005]"
