terminals_budget,K_budget,terminals_len,K,case,algo,obj,time
0.3,0.1,10,1,1,Greedy ES - no ls,21.0,0.02789
0.3,0.1,10,1,1,Greedy ES - ls,21.0,0.03030
0.3,0.1,10,1,1,Greedy MIS - no ls,21.0,0.24234
0.3,0.1,10,1,1,Greedy MIS - ls,21.0,0.35345
0.3,0.1,10,1,1,Exact,21.0,17.80607
0.3,0.1,10,2,2,Greedy ES - no ls,21.0,0.01413
0.3,0.1,10,2,2,Greedy ES - ls,21.0,0.01819
0.3,0.1,10,2,2,Greedy MIS - no ls,21.0,0.09828
0.3,0.1,10,2,2,Greedy MIS - ls,21.0,0.24319
0.3,0.1,10,2,2,Exact,21.0,4.59819
0.3,0.2,10,2,1,Greedy ES - no ls,15.0,0.02730
0.3,0.2,10,2,1,Greedy ES - ls,15.0,0.03294
0.3,0.2,10,2,1,Greedy MIS - no ls,15.0,0.23573
0.3,0.2,10,2,1,Greedy MIS - ls,15.0,0.44317
0.3,0.2,10,2,1,Exact,15.0,43.78395
0.3,0.2,10,4,2,Greedy ES - no ls,21.0,0.01529
0.3,0.2,10,4,2,Greedy ES - ls,15.0,0.02108
0.3,0.2,10,4,2,Greedy MIS - no ls,15.0,0.09130
0.3,0.2,10,4,2,Greedy MIS - ls,15.0,0.34297
0.3,0.2,10,4,2,Exact,15.0,4.34777
